trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
194,False,"{'a': 0.5, 'e': 0.7793379649314741}",20,11,-16.612193631143455,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.7771459614569709}",30,0,-62.21338731066283,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
196,False,"{'a': 0.5, 'e': 0.7749444887041795}",25,0,-17.21282187651052,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
197,False,"{'a': 0.5, 'e': 0.7727335734973511}",25,7,-49.80206490935049,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.7705132427757891}",20,0,-51.661401900837284,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
199,False,"{'a': 0.5, 'e': 0.7682835235935234}",20,0,-21.786391219700604,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.7660444431189781}",20,0,-59.217627370081026,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
201,False,"{'a': 0.5, 'e': 0.7637960286346421}",20,5,-50.02224748350983,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
202,False,"{'a': 0.5, 'e': 0.7615383075367367}",20,0,-77.48229902390109,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
203,False,"{'a': 0.5, 'e': 0.7592713073348809}",20,8,-24.69716822289522,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.7569950556517564}",30,7,9.980554662900541,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.754709580222772}",30,0,-88.00018402269936,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
206,False,"{'a': 0.5, 'e': 0.7524149088957244}",20,0,-47.49422184822563,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
207,False,"{'a': 0.5, 'e': 0.7501110696304595}",30,16,-14.036776925553413,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.7477980904985319}",20,0,-110.18808723729659,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
209,False,"{'a': 0.5, 'e': 0.7454759996828622}",20,12,-2.2115725523280423,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.7431448254773942}",25,1,-57.562653135817975,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.74080459628675}",25,4,-43.65051858130887,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
212,False,"{'a': 0.5, 'e': 0.7384553406258837}",20,0,-53.19651414851157,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
213,False,"{'a': 0.5, 'e': 0.7360970871197343}",20,12,-23.574173154710042,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
